City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Batticaloa,12,LK,1578195758,79,7.71,81.69,79.56,1.81
Provideniya,90,RU,1578195759,87,64.42,-173.23,-11.83,9.78
Dingle,45,PH,1578195760,82,11.0,122.67,79.81,16.4
San Francisco,100,CO,1578195761,95,1.17,-76.88,50.52,6.24
Riberalta,100,BO,1578195762,95,-11.0,-66.08,72.01,2.21
Astana,90,KZ,1578195532,85,51.13,71.43,17.6,17.9
Honiara,20,SB,1578195765,63,-9.43,159.96,91.4,14.99
Aberdeen,90,US,1578195766,81,46.98,-123.82,48.99,8.05
Whitianga,100,NZ,1578195767,73,-36.83,175.7,64.99,8.01
Grand Gaube,100,MU,1578195768,84,-20.01,57.66,75.0,1.99
Doba,27,ET,1578195769,72,9.29,41.09,64.67,1.92
Vagur,100,FO,1578195770,96,61.47,-6.81,47.25,27.47
Colesberg,0,ZA,1578195772,53,-30.72,25.1,70.03,10.2
Rome,0,IT,1578195606,93,41.89,12.48,46.99,3.36
College,90,US,1578195774,74,64.86,-147.8,-11.99,2.84
Honningsvag,100,NO,1578195775,62,70.98,25.97,30.4,34.25
Arman,91,RU,1578195776,69,59.7,150.17,20.82,9.69
Rayong,16,TH,1578195777,45,12.68,101.28,91.0,5.82
Monzon,5,IT,1578195778,58,46.45,11.69,34.0,28.86
Camapua,18,BR,1578195722,75,-19.53,-54.04,72.75,1.28
Guanica,0,PR,1578195781,85,17.97,-66.91,75.99,4.99
Methoni,100,GR,1578195782,93,36.82,21.7,52.0,2.24
Nouakchott,16,MR,1578195783,24,18.08,-15.98,59.0,9.17
Isola della Scala,0,IT,1578195784,92,45.27,11.01,35.6,4.7
Warri,82,NG,1578195785,56,5.52,5.75,71.22,2.51
Dwarka,20,IN,1578195786,100,28.58,77.04,62.01,4.0
Laurel,90,US,1578195788,75,39.1,-76.85,48.0,10.29
Maniitsoq,100,GL,1578195789,86,65.42,-52.9,19.35,0.76
Kungurtug,6,RU,1578195790,83,50.6,97.53,0.25,1.66
Puerto Colombia,20,CO,1578195753,78,10.99,-74.96,80.6,8.05
Manicore,100,BR,1578195792,95,-5.81,-61.3,74.97,2.35
Marystown,44,CA,1578195794,100,47.17,-55.16,37.0,8.03
Deputatskiy,100,RU,1578195795,95,69.3,139.9,-5.06,1.81
Hualmay,100,PE,1578195796,83,-11.1,-77.61,68.74,1.57
Bilibino,0,RU,1578195797,52,68.06,166.44,-4.41,2.39
Concepcion del Oro,0,MX,1578195798,39,24.63,-101.42,43.75,4.07
Calama,40,CL,1578195799,71,-22.46,-68.93,57.2,20.8
Puerto Madryn,0,AR,1578195800,63,-42.77,-65.04,59.79,14.67
Suntar,92,RU,1578195801,96,62.16,117.65,-6.38,4.72
Lasa,40,CY,1578195803,81,34.92,32.53,51.8,6.93
Petukhovo,100,RU,1578195804,94,55.06,67.89,11.26,12.26
Ewa Beach,40,US,1578195695,83,21.32,-158.01,82.4,13.87
Cadillac,90,US,1578195806,79,44.25,-85.4,30.2,5.82
Yefremov,90,RU,1578195807,82,53.14,38.12,29.57,7.2
Mitchell,1,US,1578195808,74,43.71,-98.03,35.6,12.75
Jinxiang,100,CN,1578195809,91,35.07,116.31,37.54,10.42
Altea,0,ES,1578195810,93,38.6,-0.05,48.0,4.7
Samarinda,95,ID,1578195811,54,-0.5,117.14,88.3,4.05
Cap-aux-Meules,90,CA,1578195812,86,47.38,-61.86,30.2,8.05
Klaksvik,100,FO,1578195814,93,62.23,-6.59,46.4,3.36
Goroka,79,PG,1578195815,90,-6.07,145.39,68.99,4.59
Port Augusta,100,AU,1578195816,94,-32.49,137.76,54.0,1.99
Te Anau,82,NZ,1578195817,69,-45.41,167.72,48.4,15.68
Bouloupari,5,NC,1578195818,46,-21.87,166.05,89.6,16.11
Zaysan,9,KZ,1578195819,74,47.47,84.87,2.14,1.25
Moindou,7,NC,1578195820,46,-21.69,165.68,89.6,16.11
Namwala,100,ZM,1578195822,97,-15.75,26.45,64.06,3.4
High Prairie,2,CA,1578195825,91,55.43,-116.48,-1.01,3.89
Auki,98,NG,1578195826,27,12.18,6.51,60.76,16.93
Rabo de Peixe,75,PT,1578195745,88,37.8,-25.58,62.6,14.99
Zemio,90,CF,1578195828,39,5.02,25.13,64.2,0.96
Mount Pleasant,1,US,1578195829,60,33.16,-94.97,42.8,2.84
Luena,99,AO,1578195831,98,-11.78,19.91,62.62,7.61
Gorontalo,99,ID,1578195832,86,0.54,123.06,80.89,2.21
Kamaishi,75,JP,1578195833,55,39.28,141.86,35.6,6.93
Nevsehir,75,TR,1578195591,92,38.62,34.71,26.6,4.94
Lafia,50,NG,1578195835,30,8.5,8.51,66.49,2.46
Dire Dawa,14,ET,1578195836,63,9.59,41.86,57.52,2.53
Tessalit,22,ML,1578195837,35,20.2,1.01,49.33,10.78
Vostok,100,RU,1578195838,90,46.45,135.83,3.18,3.89
Pierre,1,US,1578195602,74,44.37,-100.35,37.4,9.17
Forbes,0,AU,1578195841,12,-33.38,148.01,109.99,3.0
Taltal,11,CL,1578195842,90,-25.41,-70.49,56.48,1.21
Conceicao do Araguaia,100,BR,1578195843,98,-8.26,-49.26,72.21,3.02
Semenivka,100,UA,1578195844,95,52.18,32.58,29.86,4.43
Union,1,US,1578195845,56,34.72,-81.62,44.01,6.93
Belaya Kholunitsa,100,RU,1578195846,94,58.84,50.85,25.18,7.83
Ivanino,90,RU,1578195847,92,51.65,35.58,30.2,2.24
Newport,90,GB,1578195559,93,51.59,-3.0,45.0,9.17
Rawson,0,AR,1578195849,75,-43.3,-65.11,59.94,20.27
San Javier,26,BR,1578195851,82,-27.87,-55.13,71.01,3.69
Opuwo,100,NA,1578195852,86,-18.06,13.84,63.37,5.39
Beihai,100,CN,1578195853,44,38.95,121.19,37.4,4.47
Tulsipur,0,IN,1578195854,77,27.53,82.41,54.52,7.29
Cache Creek,75,CA,1578195855,68,50.81,-121.33,41.0,9.17
Vaitape,100,PF,1578195856,78,-16.52,-151.75,81.45,11.39
Kunda,84,EE,1578195857,71,59.5,26.52,31.55,19.64
Khorinsk,100,RU,1578195858,83,52.16,109.78,6.39,1.19
Sergach,100,RU,1578195859,94,55.53,45.48,26.85,9.95
Kampong Chhnang,32,KH,1578195861,52,12.25,104.67,79.18,9.1
Havoysund,100,NO,1578195862,73,71.0,24.66,26.6,42.5
Morehead,90,US,1578195863,86,38.18,-83.43,34.0,8.05
Dalby,0,AU,1578195864,20,-27.18,151.26,93.2,4.7
Kingman,1,US,1578195742,41,35.19,-114.05,57.2,14.99
Waterloo,0,SL,1578195866,83,8.34,-13.07,75.2,10.29
Puerto Carreno,0,CO,1578195867,58,6.19,-67.49,77.5,8.55
Barcelos,3,BR,1578195868,72,-0.97,-62.93,75.27,1.61
Paris,90,FR,1578195846,87,48.86,2.35,45.0,3.36
Puerto Maldonado,100,PE,1578195871,98,-12.59,-69.19,72.7,2.95
Moerai,100,PF,1578195872,80,-22.43,-151.33,79.3,4.32
Kalvarija,84,LT,1578195873,79,54.41,23.23,32.45,15.17
Komsomolskiy,100,RU,1578195874,89,67.55,63.78,22.12,26.71
Koster,2,ZA,1578195875,72,-25.86,26.9,64.04,9.06
Tual,100,ID,1578195876,75,-5.67,132.75,83.62,12.59
Nantucket,90,US,1578195877,93,41.28,-70.1,45.0,10.29
Divnogorsk,40,RU,1578195878,53,55.96,92.38,23.0,11.18
Onufriyivka,100,UA,1578195879,96,48.91,33.45,33.44,5.44
Djibo,10,BF,1578195881,20,14.1,-1.63,57.33,9.8
Sambava,45,MG,1578195882,96,-14.27,50.17,73.26,1.88
Kenai,1,US,1578195883,83,60.55,-151.26,0.0,4.7
Chapais,90,CA,1578195886,84,49.78,-74.86,5.0,5.82
Beringovskiy,0,RU,1578195887,72,63.05,179.32,-7.06,18.63
Sur,0,OM,1578195888,70,22.57,59.53,67.51,10.76
Manggar,100,ID,1578195889,78,-2.88,108.27,82.8,17.54
Schwalmstadt,75,DE,1578195890,100,50.91,9.21,39.99,2.24
Crotone,65,IT,1578195891,76,39.09,17.12,47.61,4.85
Saucillo,0,MX,1578195893,27,28.03,-105.29,51.33,4.61
Plettenberg Bay,39,ZA,1578195894,87,-34.05,23.37,66.7,10.92
Portland,90,US,1578195707,94,43.66,-70.25,35.01,3.36
Shelburne,90,CA,1578195675,86,44.08,-80.2,32.0,8.05
Varnamo,0,SE,1578195897,74,57.19,14.04,30.0,6.93
Pullman,1,US,1578195898,64,46.73,-117.17,39.2,9.17
Vila Franca do Campo,75,PT,1578195899,88,37.72,-25.43,62.6,14.99
Lucea,20,JM,1578195900,83,18.44,-78.17,80.6,4.7
Kruisfontein,55,ZA,1578195901,92,-34.0,24.73,65.7,20.65
Red Wing,1,US,1578195697,85,44.56,-92.53,27.0,8.05
Yashkul,100,RU,1578195904,83,46.17,45.34,36.36,9.8
Babushkin,100,RU,1578195905,92,51.72,105.86,14.83,3.11
Koslan,90,RU,1578195906,96,63.46,48.9,21.24,5.44
Salalah,75,OM,1578195908,65,17.01,54.1,77.0,12.75
Bathsheba,40,BB,1578195909,74,13.22,-59.52,78.8,13.87
Northam,0,AU,1578195910,15,-31.65,116.67,89.6,6.93
Oriximina,55,BR,1578195911,72,-1.77,-55.87,80.46,5.46
Labe,32,NG,1578195912,26,7.7,8.47,69.24,6.08
Bagotville,0,AU,1578195914,55,-28.98,153.42,100.4,17.22
Tshikapa,100,CD,1578195915,98,-6.42,20.79,68.0,2.01
San Miguel,0,AR,1578195917,64,-34.54,-58.72,75.2,8.05
Mehamn,100,NO,1578195918,73,71.03,27.85,24.46,24.72
Alta Floresta,100,BR,1578195919,95,-9.87,-56.08,70.66,3.42
Les Cayes,9,HT,1578195920,72,18.19,-73.75,80.83,2.46
Reconquista,0,AR,1578195921,48,-29.14,-59.64,72.91,6.93
Karad,0,IN,1578195922,75,17.29,74.18,62.6,6.31
Kozlovka,75,RU,1578195924,100,55.84,48.25,32.0,13.42
Tommot,100,RU,1578195925,95,58.97,126.27,12.9,4.85
Acari,100,BR,1578195926,76,-6.44,-36.64,73.54,13.02
Saint-Augustin,90,CA,1578195927,86,45.63,-73.98,28.99,2.24
Sao Joao da Barra,100,BR,1578195928,93,-21.64,-41.05,76.03,5.3
Contai,0,IN,1578195929,67,21.78,87.75,68.32,8.5
Gillette,90,US,1578195930,60,44.29,-105.5,39.99,20.8
Kloulklubed,75,PW,1578195931,74,7.04,134.26,86.0,17.22
Nurota,90,UZ,1578195933,100,40.56,65.69,35.6,4.7
Ierapetra,20,GR,1578195934,70,35.01,25.74,48.0,9.17
Sandur,97,IQ,1578195935,76,36.91,43.06,36.05,4.41
Mattru,19,SL,1578195936,76,7.62,-11.83,69.06,4.0
Okhotsk,95,RU,1578195937,88,59.36,143.24,16.9,7.9
Kushiro,20,JP,1578195938,42,43.11,144.15,28.4,6.93
Koeru,90,EE,1578195940,70,58.97,26.03,29.26,11.99
Noyabrsk,100,RU,1578195941,92,63.2,75.45,25.59,21.41
Fort Morgan,40,US,1578195942,27,40.25,-103.8,50.0,26.4
